season,team_id,team_code,games,mov,srs,srs_off,srs_def,sos,home_court_adv,treatment,cap
2010,1611661329,CHI,34,-0.7352941176470589,0.47346866096864915,-3.5993909307486938,4.072859591717343,1.208762778615708,2.549019607843137,cap,26.0
2010,1611661317,PHO,34,0.11764705882352941,-0.8153490028490005,14.468680644865994,-15.284029647714995,-0.9329960616725299,2.549019607843137,cap,26.0
2010,1611661320,LAS,34,-3.323529411764706,-3.8153490028489743,-3.7726986654788317,-0.042650337370142566,-0.4918195910842682,2.549019607843137,cap,26.0
2010,1611661324,MIN,34,-3.411764705882353,-4.093839031339037,-2.6177626452410934,-1.4760763860979438,-0.6820743254566843,2.549019607843137,cap,26.0
2010,1611661319,SAS,34,-3.264705882352941,-4.196403133903138,-4.962148144799015,0.765745010895877,-0.9316972515501964,2.549019607843137,cap,26.0
2010,1611661321,TUL,34,-11.794117647058824,-10.78614672364671,-1.8432268362225233,-8.942919887424186,1.007970923412115,2.549019607843137,cap,26.0
2011,1611661324,MIN,34,7.882352941176471,6.9169900669901,3.172202905156186,3.744787161833914,-0.9653628741863711,3.514705882352942,cap,26.0
2011,1611661325,IND,34,3.911764705882353,3.107022407022428,0.029756454367137586,3.0772659526552903,-0.8047422988599249,3.514705882352942,cap,26.0
2011,1611661323,CON,34,3.2941176470588234,2.7982386232386185,3.029166405793215,-0.23092778255459656,-0.4958790238202049,3.514705882352942,cap,26.0
2011,1611661317,PHO,34,3.0,2.521477246477243,12.686010931575453,-10.16453368509821,-0.47852275352275697,3.514705882352942,cap,26.0
2011,1611661319,SAS,34,2.1176470588235294,1.8158119658119887,-0.177607502496258,1.9934194683082467,-0.30183509301154077,3.514705882352942,cap,26.0
2011,1611661328,SEA,34,1.7941176470588236,1.3960441210440981,-6.775482049383606,8.171526170427704,-0.39807352601472545,3.514705882352942,cap,26.0
2011,1611661330,ATL,34,1.7058823529411764,1.350265650265655,5.925571624375851,-4.575305974110196,-0.3556167026755215,3.514705882352942,cap,26.0
2011,1611661313,NYL,34,1.2352941176470589,1.0414818664818664,-1.5750184241980607,2.616500290679927,-0.19381225116519252,3.514705882352942,cap,26.0
2011,1611661329,CHI,34,-0.9411764705882353,-0.6906213906213732,-3.109332407747297,2.418711017125924,0.2505550799668621,3.514705882352942,cap,26.0
2011,1611661320,LAS,34,-3.176470588235294,-2.7591880341880826,0.1702611610981677,-2.9294491952862503,0.4172825540472114,3.514705882352942,cap,26.0
2011,1611661322,WAS,34,-7.9411764705882355,-6.648053823053834,-6.127795167742336,-0.5202586553114976,1.2931226475344015,3.514705882352942,cap,26.0
2011,1611661321,TUL,34,-12.882352941176471,-10.849468699468684,-7.247733930798431,-3.6017347686702523,2.0328842417077873,3.514705882352942,cap,26.0
2012,1611661324,MIN,34,9.794117647058824,8.582799145299148,7.675428438898265,0.9073707064008829,-1.211318501759676,3.210784313725485,cap,26.0
2012,1611661320,LAS,34,5.764705882352941,4.969551282051249,6.251347610722572,-1.281796328671323,-0.795154600301692,3.210784313725485,cap,26.0
2012,1611661325,IND,34,6.0,4.939992877492874,0.5042506184747575,4.435742259018117,-1.060007122507126,3.210784313725485,cap,26.0
2012,1611661319,SAS,34,5.117647058823529,4.326388888888893,3.7023957244862515,0.6239931644026413,-0.7912581699346362,3.210784313725485,cap,26.0
2012,1611661323,CON,34,4.205882352941177,3.148682336182354,4.481440175405702,-1.3327578392233477,-1.0572000167588227,3.210784313725485,cap,26.0
2012,1611661330,ATL,34,2.823529411764706,2.3758903133903138,1.394613129526923,0.9812771838633907,-0.4476390983743923,3.210784313725485,cap,26.0
2012,1611661329,CHI,34,-0.23529411764705882,-0.2394943019943021,-2.05101021264813,1.8115159106538279,-0.004200184347243285,3.210784313725485,cap,26.0
2012,1611661328,SEA,34,-0.4117647058823529,-0.4407051282051153,-7.8330909392331804,7.392385811028065,-0.028940422322762394,3.210784313725485,cap,26.0
2012,1611661313,NYL,34,-4.147058823529412,-3.415420227920225,-3.9040593825076577,0.4886391545874327,0.7316385956091871,3.210784313725485,cap,26.0
2012,1611661321,TUL,34,-6.970588235294118,-5.596688034188035,0.17189174570639576,-5.768579779894431,1.3739002011060828,3.210784313725485,cap,26.0
2012,1611661322,WAS,34,-9.705882352941176,-8.517984330484317,-8.47258281310004,-0.04540151738427767,1.1878980224568583,3.210784313725485,cap,26.0
2012,1611661317,PHO,34,-12.235294117647058,-10.133012820512832,-1.9206240957318599,-8.212388724780972,2.102281297134226,3.210784313725485,cap,26.0
2013,1611661324,MIN,34,9.352941176470589,8.784909909909919,6.647778330133733,2.1371315797761854,-0.5680312665606699,3.2500000000000018,cap,26.0
2013,1611661320,LAS,34,6.970588235294118,5.961625086625062,5.599932994607616,0.3616920920174467,-1.0089631486690553,3.2500000000000018,cap,26.0
2013,1611661329,CHI,34,5.852941176470588,4.597366597366602,3.758996344925154,0.8383702524414476,-1.2555745791039863,3.2500000000000018,cap,26.0
2013,1611661330,ATL,34,1.5,0.7865557865557866,1.395303953980262,-0.6087481674244755,-0.7134442134442134,3.2500000000000018,cap,26.0
2013,1611661317,PHO,34,-0.5588235294117647,0.3649514899514834,4.653654038317565,-4.288702548366081,0.9237750193632481,3.2500000000000018,cap,26.0
2013,1611661322,WAS,34,0.08823529411764706,-0.16094941094940474,-0.004219342372846491,-0.15673006857655825,-0.24918470506705181,3.2500000000000018,cap,26.0
