LEAGUE,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,TS_PCT,PIE,WIN_SHARES
WNBA,1998,100089,Isabelle Fijalkowski,1611661315,CLE,28,28.8,13.7,6.9,2.1,0.23,0.611,0.143,
WNBA,1998,100007,Jamila Wideman,1611661320,LAS,25,13.1,1.9,0.9,2.3,0.122,0.43,0.051,
WNBA,1998,100075,Janeth Arcain,1611661316,HOU,30,21.9,6.8,3.6,0.9,0.181,0.477,0.101,
WNBA,1998,100087,Janice Braxton,1611661315,CLE,30,27.9,9.8,5.6,2.5,0.186,0.561,0.139,
WNBA,1998,100030,Jennifer Gillom,1611661317,PHO,30,32.1,20.9,7.3,1.4,0.315,0.541,0.192,
WNBA,1998,100053,Karen Booker,1611661316,HOU,1,2.2,0.0,0.0,0.0,0.167,0.0,0.0,
WNBA,1998,100009,Katrina Colleton,1611661320,LAS,30,19.2,2.7,1.7,1.6,0.105,0.374,0.035,
WNBA,1998,100177,Kelly Boucher,1611661314,CHA,9,5.8,1.1,1.4,0.2,0.157,0.298,0.067,
WNBA,1998,100194,Keri Chaconas,1611661322,WAS,29,13.2,5.0,0.7,1.3,0.224,0.454,0.008,
WNBA,1998,100083,Kim Perrot,1611661316,HOU,30,32.9,8.5,3.1,4.7,0.159,0.51,0.112,
WNBA,1998,100050,Kim Williams,1611661319,UTA,30,18.0,7.6,1.9,1.5,0.256,0.464,0.064,
WNBA,1998,100107,Kisha Ford,1611661313,NYL,30,15.7,4.9,1.2,0.8,0.17,0.472,0.064,
WNBA,1998,100250,Korie Hlede,1611661321,DET,27,33.8,14.1,5.2,2.7,0.234,0.489,0.105,
WNBA,1998,100222,Kristi Harrower,1611661317,PHO,30,11.8,2.3,0.7,1.7,0.12,0.544,0.082,
WNBA,1998,100102,Kym Hampton,1611661313,NYL,30,24.8,9.1,6.0,0.9,0.205,0.517,0.123,
WNBA,1998,100193,La'Shawn Brown,1611661322,WAS,21,12.1,1.9,2.3,0.3,0.127,0.41,-0.032,
WNBA,1998,100242,LaTonya Johnson,1611661319,UTA,28,17.5,5.4,1.9,0.7,0.187,0.472,0.036,
WNBA,1998,100044,Lady Grooms,1611661318,SAC,29,26.2,7.2,2.7,1.6,0.145,0.549,0.095,
WNBA,1998,100027,Latasha Byears,1611661318,SAC,29,27.5,14.3,6.5,1.0,0.285,0.487,0.124,
WNBA,1998,100283,Leila de Souza Sobral,1611661322,WAS,14,5.0,1.8,0.7,0.4,0.216,0.408,-0.01,
WNBA,1998,100290,Leslie Johnson,1611661322,WAS,6,2.4,0.3,0.2,0.2,0.176,0.5,-0.072,
WNBA,1998,100011,Linda Burgess,1611661318,SAC,29,23.2,7.4,4.8,1.0,0.182,0.516,0.106,
WNBA,1998,100003,Lisa Leslie,1611661320,LAS,28,32.1,19.6,10.2,2.5,0.294,0.548,0.216,
WNBA,1998,100090,Lynette Woodard,1611661321,DET,27,14.1,3.5,2.4,0.8,0.167,0.429,0.073,
WNBA,1998,100239,Margo Dydek,1611661319,UTA,30,28.0,12.9,7.6,1.8,0.252,0.538,0.131,
WNBA,1998,100289,Margo Graham,1611661322,WAS,9,5.3,2.0,1.4,0.1,0.228,0.434,-0.042,
WNBA,1998,100227,Maria Stepanova,1611661317,PHO,20,6.4,3.3,1.9,0.4,0.261,0.467,0.107,
WNBA,1998,100037,Marlies Askamp,1611661317,PHO,26,12.2,5.3,3.3,0.5,0.22,0.529,0.125,
WNBA,1998,100092,Merlakia Jones,1611661315,CLE,30,22.7,9.5,3.2,1.3,0.22,0.528,0.103,
WNBA,1998,100257,Mfon Udoka,1611661321,DET,3,8.2,1.3,1.0,0.0,0.15,0.258,-0.077,
WNBA,1998,100029,Michele Timms,1611661317,PHO,30,31.2,6.9,2.5,5.3,0.152,0.423,0.078,
WNBA,1998,100221,Michelle Brogan,1611661317,PHO,30,25.9,9.2,4.4,1.4,0.162,0.605,0.159,
WNBA,1998,100088,Michelle Edwards,1611661315,CLE,23,23.1,7.7,2.3,2.8,0.212,0.481,0.089,
WNBA,1998,100286,Michelle Reed,1611661320,LAS,9,5.4,1.6,1.2,0.2,0.169,0.43,0.056,
WNBA,1998,100019,Mikiko Hagiwara,1611661317,PHO,10,5.8,2.2,0.2,0.3,0.189,0.493,0.028,
WNBA,1998,100207,Monica Lamb,1611661316,HOU,30,21.6,5.4,4.7,0.3,0.121,0.573,0.085,
WNBA,1998,100199,Murriel Page,1611661322,WAS,29,32.1,8.3,6.9,1.3,0.139,0.507,0.087,
WNBA,1998,100012,Mwadi Mabika,1611661320,LAS,29,24.5,8.2,4.4,1.5,0.194,0.429,0.081,
WNBA,1998,100214,Nadine Domond,1611661318,SAC,9,10.2,3.0,1.0,1.0,0.204,0.388,0.011,
WNBA,1998,100198,Nikki McCray,1611661322,WAS,28,33.5,17.3,3.0,3.1,0.288,0.484,0.086,
WNBA,1998,100208,Nyree Roberts,1611661316,HOU,14,3.9,1.1,0.7,0.1,0.097,0.794,0.122,
WNBA,1998,100169,Octavia Blue,1611661320,LAS,30,11.0,2.4,1.6,0.3,0.154,0.417,0.013,
WNBA,1998,100243,Olympia Scott,1611661319,UTA,29,16.2,5.3,2.9,0.8,0.2,0.47,0.038,
WNBA,1998,100020,Pam McGee,1611661320,LAS,30,19.0,6.8,4.8,0.4,0.202,0.475,0.055,
WNBA,1998,100223,Pauline Jordan,1611661318,SAC,23,11.1,3.0,1.7,0.7,0.178,0.449,0.032,
WNBA,1998,100374,Penny Moore,1611661322,WAS,28,25.9,8.0,3.7,1.5,0.2,0.409,0.073,
WNBA,1998,100004,Penny Toler,1611661320,LAS,30,31.5,12.3,3.5,4.8,0.226,0.485,0.107,
WNBA,1998,100180,Pollyanna Johns Kimbrough,1611661314,CHA,24,7.6,2.6,1.5,0.3,0.155,0.541,0.146,
WNBA,1998,100230,Quacy Barnes,1611661318,SAC,17,5.3,0.9,0.5,0.1,0.139,0.403,-0.138,
WNBA,1998,100255,Rachael Sporn,1611661321,DET,30,17.8,4.5,3.6,1.3,0.163,0.422,0.071,
WNBA,1998,100049,Raegan Scott,1611661315,CLE,22,7.7,1.7,1.3,0.3,0.149,0.439,0.053,
WNBA,1998,100253,Razija Brcaninovic,1611661321,DET,30,23.2,9.1,5.1,1.0,0.201,0.558,0.114,
WNBA,1998,100002,Rebecca Lobo,1611661313,NYL,30,29.1,11.7,6.9,1.5,0.205,0.544,0.141,
WNBA,1998,100175,Rehema Stephens,1611661318,SAC,8,10.3,3.3,1.3,0.5,0.298,0.304,-0.063,
WNBA,1998,100108,Rhonda Blades,1611661321,DET,29,11.8,2.3,1.1,1.4,0.174,0.364,-0.023,
WNBA,1998,100060,Rhonda Mapp,1611661314,CHA,21,21.8,10.1,4.2,1.6,0.227,0.557,0.116,
WNBA,1998,100204,Rita Williams,1611661322,WAS,29,23.7,4.4,2.3,2.3,0.139,0.428,0.062,
WNBA,1998,100097,Rushia Brown,1611661315,CLE,30,17.4,6.5,3.1,0.9,0.203,0.55,0.1,
WNBA,1998,100016,Ruthie Bolton,1611661318,SAC,5,26.7,11.0,2.2,1.2,0.274,0.391,0.02,
WNBA,1998,100176,Sandra VanEmbricqs,1611661320,LAS,28,16.8,3.4,2.7,0.6,0.11,0.489,0.066,
WNBA,1998,100247,Sandy Brondello,1611661321,DET,30,33.1,14.2,2.9,3.3,0.217,0.516,0.135,
WNBA,1998,100063,Sharon Manning,1611661314,CHA,30,19.1,5.4,5.5,1.0,0.159,0.497,0.131,
WNBA,1998,100072,Sheryl Swoopes,1611661316,HOU,29,32.3,15.6,5.1,2.1,0.253,0.511,0.177,
WNBA,1998,100178,Sonia Chase,1611661314,CHA,23,7.2,1.5,0.6,0.6,0.116,0.555,0.056,
WNBA,1998,100105,Sophia Witherspoon,1611661313,NYL,30,30.0,13.8,3.0,1.9,0.247,0.503,0.112,
WNBA,1998,100104,Sue Wicks,1611661313,NYL,30,14.8,4.3,2.8,1.2,0.185,0.505,0.077,
WNBA,1998,100187,Suzie McConnell Serio,1611661315,CLE,28,31.6,8.6,2.2,6.4,0.167,0.58,0.116,
WNBA,1998,100023,Tajama Abraham,1611661321,DET,12,3.5,1.5,0.6,0.0,0.23,0.437,-0.025,
WNBA,1998,100008,Tamecka Dixon,1611661320,LAS,22,32.2,16.2,2.5,2.5,0.246,0.536,0.109,
WNBA,1998,100047,Tammi Reiss,1611661319,UTA,22,21.7,6.5,1.8,2.2,0.161,0.487,0.069,
WNBA,1998,100077,Tammy Jackson,1611661316,HOU,21,8.3,1.3,1.2,0.3,0.114,0.471,-0.014,
WNBA,1998,100236,Tangela Smith,1611661318,SAC,27,25.1,9.8,4.6,1.1,0.231,0.443,0.1,
WNBA,1998,100186,Tanja Kostic,1611661315,CLE,5,5.9,1.0,0.4,0.4,0.097,0.644,0.018,
WNBA,1998,100101,Teresa Weatherspoon,1611661313,NYL,30,33.4,6.8,4.0,6.4,0.146,0.467,0.136,
WNBA,1998,100070,Tia Paschal,1611661314,CHA,20,5.5,1.4,0.8,0.5,0.201,0.341,0.029,
WNBA,1998,100234,Ticha Penicheiro,1611661318,SAC,29,36.0,6.1,4.8,7.5,0.14,0.431,0.117,
WNBA,1998,100233,Tiffani Johnson,1611661318,SAC,6,5.3,0.3,1.7,0.0,0.131,0.129,-0.212,
WNBA,1998,100086,Tiffany Woosley,1611661316,HOU,18,5.4,1.2,0.4,0.5,0.165,0.422,0.02,
WNBA,1998,100076,Tina Thompson,1611661316,HOU,27,32.3,12.7,7.1,0.9,0.2,0.532,0.127,
WNBA,1998,100033,Toni Foster,1611661317,PHO,16,13.6,4.9,1.9,1.2,0.19,0.54,0.146,
WNBA,1998,100062,Tora Suber,1611661314,CHA,30,22.8,6.0,1.8,2.9,0.166,0.441,0.069,
WNBA,1998,100182,Tracy Reid,1611661314,CHA,30,32.2,13.8,5.2,1.5,0.222,0.53,0.114,
WNBA,1998,100106,Trena Trice-Hill,1611661313,NYL,10,7.8,2.1,1.8,0.1,0.157,0.481,0.037,
WNBA,1998,100237,Tricia Bader Binford,1611661319,UTA,22,9.5,2.1,0.5,0.9,0.169,0.407,-0.026,
WNBA,1998,100284,Tully Bevilaqua,1611661315,CLE,11,11.0,1.9,0.9,2.1,0.104,0.631,0.149,
WNBA,1998,100035,Umeki Webb,1611661317,PHO,30,28.2,5.3,3.9,3.1,0.123,0.428,0.076,
WNBA,1998,100103,Vickie Johnson,1611661313,NYL,30,30.3,12.5,3.8,2.5,0.209,0.518,0.134,
WNBA,1998,100058,Vicky Bullett,1611661314,CHA,30,31.5,13.3,6.5,1.5,0.23,0.493,0.139,
WNBA,1998,100074,Wanda Guyton,1611661316,HOU,1,13.5,0.0,0.0,0.0,0.103,0.0,-0.355,
WNBA,1998,100046,Wendy Palmer,1611661319,UTA,28,27.2,13.5,6.6,1.1,0.249,0.521,0.128,
WNBA,1998,100085,Yolanda Moore,1611661316,HOU,30,17.7,3.3,2.9,0.3,0.099,0.55,0.074,
WNBA,1999,100231,Adia Barnes,1611661324,MIN,19,4.8,1.1,1.1,0.3,0.167,0.371,0.011,
WNBA,1999,100363,Adrienne Goodson,1611661319,UTA,32,33.4,14.9,4.3,2.7,0.245,0.492,0.091,
