LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,2004,1611661316,Houston Comets,34,13,21,0.382,64.0,93.4,94.9,-1.5,81.67,0.494,-0.6276707070210759
WNBA,2004,1611661325,Indiana Fever,34,15,19,0.441,64.6,95.9,97.4,-1.5,80.5,0.485,-1.6637372636821879
WNBA,2004,1611661320,Los Angeles Sparks,34,25,9,0.735,73.4,97.7,92.8,4.9,87.74,0.523,3.982111194327399
WNBA,2004,1611661324,Minnesota Lynx,34,18,16,0.529,63.6,90.2,91.9,-1.7,83.81,0.496,-0.4701388418351075
WNBA,2004,1611661313,New York Liberty,34,18,16,0.529,66.2,95.5,97.7,-2.2,81.88,0.52,-1.6111058242857843
WNBA,2004,1611661317,Phoenix Mercury,34,17,17,0.5,67.6,98.4,95.2,3.2,82.36,0.526,2.092015998612992
WNBA,2004,1611661318,Sacramento Monarchs,34,18,16,0.529,68.0,97.9,94.8,3.1,82.17,0.494,2.354035680074079
WNBA,2004,1611661319,San Antonio Silver Stars,34,9,25,0.265,64.4,92.4,99.8,-7.4,82.75,0.494,-4.322006598924689
WNBA,2004,1611661328,Seattle Storm,34,20,14,0.588,71.7,101.2,94.2,6.9,84.61,0.525,5.105660758287217
WNBA,2004,1611661322,Washington Mystics,34,17,17,0.5,68.4,96.7,98.1,-1.4,84.7,0.489,-1.9795259000606067
WNBA,2005,1611661314,Charlotte Sting,34,6,28,0.176,61.6,90.0,99.9,-9.9,80.82,0.479,-6.364329895856537
WNBA,2005,1611661323,Connecticut Sun,34,26,8,0.765,72.8,101.9,93.5,8.4,85.22,0.531,6.004058362298209
WNBA,2005,1611661321,Detroit Shock,34,16,18,0.471,66.1,90.5,92.0,-1.5,86.11,0.468,-1.1011859562162207
WNBA,2005,1611661316,Houston Comets,34,19,15,0.559,67.9,99.5,97.8,1.7,80.88,0.519,1.1448945799751
WNBA,2005,1611661325,Indiana Fever,34,21,13,0.618,63.8,94.1,92.0,2.1,80.11,0.489,0.9251244605453014
WNBA,2005,1611661320,Los Angeles Sparks,34,17,17,0.5,68.4,96.0,96.8,-0.7,85.5,0.501,-0.27882559988746153
WNBA,2005,1611661324,Minnesota Lynx,34,14,20,0.412,65.0,93.0,96.6,-3.6,83.14,0.5,-1.8305333786668827
WNBA,2005,1611661313,New York Liberty,34,18,16,0.529,68.1,101.2,99.3,1.9,79.54,0.551,0.7672301423560924
WNBA,2005,1611661317,Phoenix Mercury,34,16,18,0.471,69.4,97.6,97.6,0.0,85.29,0.514,0.18020000856859292
WNBA,2005,1611661318,Sacramento Monarchs,34,25,9,0.735,68.5,97.4,87.7,9.6,84.32,0.506,6.16899726741848
WNBA,2005,1611661319,San Antonio Silver Stars,34,7,27,0.206,63.0,91.5,102.0,-10.4,82.84,0.505,-6.737971843032329
WNBA,2005,1611661328,Seattle Storm,34,20,14,0.588,73.5,100.4,96.9,3.5,87.4,0.527,2.2761592481102797
WNBA,2005,1611661322,Washington Mystics,34,16,18,0.471,66.6,96.8,98.3,-1.5,81.43,0.512,-1.1538173956126239
WNBA,2006,1611661314,Charlotte Sting,34,11,23,0.324,72.2,90.8,95.2,-4.4,95.03,0.487,-3.0141314750099726
WNBA,2006,1611661329,Chicago Sky,34,5,29,0.147,68.3,89.9,104.2,-14.3,91.08,0.472,-9.833681296907946
WNBA,2006,1611661323,Connecticut Sun,34,26,8,0.765,78.9,100.6,90.8,9.8,93.02,0.534,6.7584661028053405
WNBA,2006,1611661321,Detroit Shock,34,23,11,0.676,74.3,96.2,90.8,5.4,92.36,0.496,3.534704309778462
WNBA,2006,1611661316,Houston Comets,34,18,16,0.529,73.7,95.3,93.0,2.3,91.23,0.523,1.662901951466198
WNBA,2006,1611661325,Indiana Fever,34,21,13,0.618,71.6,94.6,90.2,4.4,90.1,0.499,2.903127037021623
WNBA,2006,1611661320,Los Angeles Sparks,34,25,9,0.735,75.7,97.5,94.0,3.5,92.21,0.512,2.828595578665151
WNBA,2006,1611661324,Minnesota Lynx,34,10,24,0.294,74.2,95.2,102.9,-7.7,93.31,0.502,-5.5985429717984445
WNBA,2006,1611661313,New York Liberty,33,11,22,0.333,69.2,91.7,102.9,-11.2,89.86,0.504,-7.6357509156680194
WNBA,2006,1611661317,Phoenix Mercury,33,17,16,0.515,86.8,106.3,103.3,3.0,97.02,0.542,2.4673446169123334
WNBA,2006,1611661318,Sacramento Monarchs,34,21,13,0.618,74.6,97.8,92.9,5.0,90.43,0.504,3.841245943848985
WNBA,2006,1611661319,San Antonio Silver Stars,34,13,21,0.382,74.2,96.3,99.0,-2.8,92.51,0.495,-2.094193423123928
